timestamp,mind_growth,education_awareness,political_maturity,emotional_stability,psychological_resilience,trend_sensitivity,leadership_voice,digital_lifestyle,social_responsiveness,dominant_group
2026-01-27 19:03:32,33.7,10.16,84.81,0.744,65.62,Stable,4.49,4.17,7.38,UPSC Aspirants
2026-01-27 23:24:45,33.7,10.16,84.81,0.744,65.62,Stable,4.49,4.17,7.38,UPSC Aspirants
2026-01-27 23:25:43,33.7,10.16,84.81,0.744,65.62,Stable,4.49,4.17,7.38,UPSC Aspirants
2026-01-29 01:18:32,32.95,9.18,80.39,0.728,62.73,High,6.01,1.59,9.3,India Tech Startups
2026-01-29 01:27:46,32.97,9.2,80.25,0.729,62.74,Stable,5.95,1.57,9.2,India Tech Startups
2026-01-29 01:44:50,32.89,9.07,80.09,0.728,62.73,Stable,5.86,1.55,9.29,India Tech Startups
2026-01-29 01:51:29,32.88,9.05,80.13,0.728,62.65,Stable,5.85,1.55,9.27,India Tech Startups
2026-01-29 08:49:25,32.88,9.05,80.13,0.728,62.65,Stable,5.85,1.55,9.27,India Tech Startups
2026-01-29 09:03:49,32.88,9.05,80.13,0.728,62.65,Stable,5.85,1.55,9.27,India Tech Startups
2026-01-29 14:00:13,33.28,9.2,79.03,0.731,63.17,Stable,6.19,2.48,7.96,India Tech Startups
2026-02-02 17:57:06,33.4,10.04,78.22,0.732,63.46,High,5.69,2.9,8.29,Mental Health India
2026-02-02 18:06:41,33.4,10.22,77.99,0.733,63.51,Stable,5.65,2.89,8.24,Mental Health India
2026-02-03 16:38:06,32.87,11.93,74.75,0.737,64.23,Stable,5.45,2.52,7.61,Mental Health India
2026-02-03 17:30:23,31.3,18.3,64.88,0.752,66.97,High,4.25,1.48,9.43,CBSE Exams
