id,topic,text,timestamp,source,run_date
CBMingFBVV95cUxNdUhjQmtrbzY1M2ZaVW9Oc09yX0lmLXFaN1VpQW15VnpQUkQ2RzQzRFJvY0hDOVRFTTBweHZnT2ZENkp3QllYRnJtWE9kdE1hZ1h3VGlIMnlxbWg4M3pxUWk0QmVPeGx0ZmRxdDMtdFdZTXg2TkZKanVUMVVuZEpuZnlNZmRTUlU4VkdkNVBrZER4Zk55RnRMSnFyWkVUZw,GenZ India,Mann Ki Baat: PM Modi calls Gen-Z the ‘greatest strength of Viksit Bharat’,2025-12-28 03:16:44,DD News,
CBMiqAFBVV95cUxOYVJnc1VNN0xIOTVtb0hRbWlWRi11NHdVYm1VMGFNMmhGZ0RQdEFkVTRYQ2N3ZlV4N1NXcm4tSHFTSUdLMTg1WnFDTW9zck9yNGZKaXROX2MzVlgzRzdGXzNoaXF0a2NidDc2Ul9Bd00wVTVnZVZMUS1XSmxselItSWFac2RMS1lFbTA4RkJaUTctbW1qUFRCSHZmd2czOEQ5blVwZ2xLb3M,GenZ India,Gen Z & Alpha Will Drive India Towards Viksit Bharat Goal: PM Modi on Veer Baal Diwas,2025-12-28 02:40:22,News On AIR,
CBMirAFBVV95cUxNblc3ZUV2dDRwWW1sVVc2M0VGczliUWdNTUh6UjdVUkVNOTNIcDNOSUhKeHFGVjV6RXNRZnpPTVp6RjI1aTN5eGdBRDJXSTBQTWZYbERVTzhQSXNDdnBWUWREZFphTVFqVTZnUlo5R18zMFlUT0tEVm0zZmR6RGdFRXpsZXdsUXNHODB2c25XR0l0ZlcxZGZRX1RLNVdlSkdnY0dnNHRBcmgtaUhQ,GenZ India,"PM Modi expresses faith in Gen Z, calls for nation-building",2025-12-28 05:57:54,Awaz The Voice,
CBMinAFBVV95cUxOSTNZNnl2RzV1MmFXTWZpRF9xbFZEcDNOLW5Ib2tDbUVkMmZ2U3ZIOHBPZEtYU09NaXcxQUx2Z1Y1dG44NXJqaUxmWTdQeXJoWGplaWlhaVFDclVoTEd0WUMxY0NQRVY5QzRuQmQzWVpra1daa0ZjcTJ3TC04MWg2YXVJRjJLRE12QTZ2MnBYdEdaM0o0amZIdlFxZnY,GenZ India,Why Is Gen Z Seen As Over Sensitive And Averse To Slightest Of Inconvenience?,2025-12-28 07:51:02,ED Times,
CBMiW0FVX3lxTE9Ea2hyMGhXS1p3YjMtUHZOQWNRQWpCamoxQWI5NUYxZENSd3JfcUdTenRlT3g4Vzc0anp4YnJ3elVTSm80ZVBSaXZteUNjLU9nWDljanVxVF9GVHM,GenZ India,"GET REAL, SAY Gen Z",2025-12-28 07:51:02,Pune Mirror,
CBMiwwFBVV95cUxQZWNXbDNuWmR5MTE2LUNfSzZjZ1JRZ0Y1ZGNaOURlRUsxV2xacWZYZE4zZWI1cFE1dnVZZkFtYlRpZXJiNzZndkJ3YUJvRDh0ZFJLY2ZzcHBGNFQzWHpPazN4RmpVZlFFXzQyaTVTTHdYeDU4LU5YUzh6a1pSOVIwQVQtVmo2eU91cHZPem1IVE9udWhjUjdFNzM2VHEyckxsRm05OTh2ZVZ1SFdaN1NiTnVFQ29VVzUzYlVLeVdxRWpONE3SAcgBQVVfeXFMT0o0dFZlR183QjZCdkpGaWx5UU5yUHJPWnZyZll2elhPX2NaWjUwSGEzLXVsNFg0QUY1Z0NEUEstd1NISjRvZDEwQXBFRzdpTC1kOEQzSmowNmxaa1c4TWRlX2Z4ZlhMZlExM2owTjV4aTl3aUlLTGx2bG1HMTZuNjBZaG56bWtHNkdkR0l2eDdQZVlHdUVOdThXUjkxbXJ0M1k3ZVpUU2E1OTktS3FlZHVnVjJqazJieU5OU1Z2RWFja0lGdVlzZ1Y,GenZ India,"The jobs Gen Z ditched in 2025, and what replaced them",2025-12-28 03:30:00,India Today,
CBMi-AFBVV95cUxNYnNsVW1ua0hTZjRiNG5TaWhmOWE1OTVwQkxuM0ZPV2drZmxwckZfbzlqNVBRWEJSMDZ6dVVLN1NCczRwMGNTZ0Q1bTZFYjhyVjZteGw5akt4WTlPSGlvNndpY1ZuQzhPd0h6WGR5RklVYnEzWlIwVzF5dng5cU1WQ1FkTW1sdUYtMG1hQUxMWUllb01XSHc3cG9Xckdvc0t3ekt2T2J6bXRnV2RIdUtrUDRfYXJkT1NuMTI1WjVVblhUaHMydU84ZmNiNnBERXZxTzFnVXNFMEZLWVJVTlZlLVg3cnZFbDRsSTRxWkNfbEdMMWFkWVZLStIB_gFBVV95cUxOZEVTMFE1RWFnQVpzTy03T2tvTkFMQkVyRDFBUlNRaVRDWUJNT1R0d1NZckVIUHlNODZMZUVwLTZQcngtVjJUWmd1Y3U4Q0ZOTDB5VHhIM0N3SXNTZUY0bDRfcU5BNlJRRWJmWlEwSG0xV3JnMHJuVVpteTJFSWpmMnpiTzlrOWN6R3V0M2gtSjNPd1pNRXoxcWRuU2s4UkhjNmlBNVBZdER5bG9mNmEtM3JBMnYzdk9PRi12dnA0NlBEMnp5dncwQVI3b1FIbDJCbmVYSkZ3UUhDdGdkN2VIaUtjM0FxQnpGakZ6TDZXZTI3SWdMZGIxOGRWRFl0Zw,GenZ India,"Storyboard18 | Self-purchase, Gen Z demand reshape India’s diamond market: De Beers India",2025-12-27 15:26:12,CNBC TV18,
CBMimgFBVV95cUxNNnpDdnpEaVRoWWI1Vi0yNUdUanhoOGZQMThEY0syMF9yZzNzNkQ5ZjN5aUx5ckp4MUlWdmdWQjZHNndOdGtjVVBfcmFKeUp1VVNrNkpYSDh3M1gzQ1RDcEEza19uQ1hidHdwdU93UThCdmNYMTNxTmYwV0JDMUs2UTlwelJ4VF9sUEZ0YUNJRFRBNGQwSUR1RzZn0gGnAUFVX3lxTE5iTl9FOGZXWHBha1VXekY5VFZnRGY4QmpvU0lqT2RWa2V4Ml9OOXhJZ0wzVGxuTVYzRmFQcmxSMElaSnA2ems1bXUtZHp1UkVEWEZhd1lpMVNLMnBYeXM2aGlwSzIzVHI0ejBxekhLYVVpalItUUpGS0QxZmZDU1BuRWVIUFhTOGZDMTZzcm4zcHBHTkd4WU4wWGE0RXdyWkRQb0k2dFU4,GenZ India,"Gen Z, Alpha will lead India to the goal of Viksit Bharat: PM Modi",2025-12-27 10:15:00,EdexLive,
CBMiuAFBVV95cUxNeHZCa09VZm5GWXRPS2p0QXg4d1FRY05RNnFIb2M4Y002TTNnWE5wLVRUektCbDh4SmpqdHNaLTZMeDBvOGtMUUN4YTVHM0cyQWo5cjZ1NWhzWHp3QkMwUW9vRzduR1lrVUZ4ZlJrYllxYm50TlpIS1JxaG9ObmVDa3VMTXNhbnI4TkU3b3lFeEFNNnBzajNjck9IeDhqS0dldXRxd1lsVm91bVlLbnVhTFh0WUQzRTFj,GenZ India,India is determined to achieve new heights on global stage: JDU backs PM Modi’s Gen Z remarks,2025-12-27 22:54:02,indianews.com.au,
CBMi2AFBVV95cUxOQmxtNW5mU0stdWo5RnIzNE5GSGFwMGFVWmd0X1UxQ2oxMzdnLTlMVU1qTjJjamd4Zms5ZjM3TDVsSDZPeHlTRzNraTdkRk5BR1ltS25rX0hjeDNvamp2cGJVVGJZaTlFMUloVFlYb3pYcC1LSDNlMWdBcGRDSUpYMmdwd2VXTkI4UWRmLXNibFZWYkdBOEpVcTZWUkhCT1UtZTRSZHVBcWxkR1Ytcm9FanEzZlNXZWhUNUhwVF80b2U0cE00Vy0tU1FyZi1FUzJPYmNZYUN6cUHSAd4BQVVfeXFMTnZCSEtFV1Y4MGJVSmxETXEwc3Yyc29pQXVxUkh6Mk1IYUNJdVdTLWFTZ0lock1OaS0wbDlmTE9uSmp6SEVnS3NyQURTdWRNOWR0YlBPaFlfeWFENG8xelduSjVSRXZFZTI2YkNSajBUeElSS3pUS1pmaFFHaWFMdWR5LXlMLTBkaUF5X1hiUGRNN05QXzZnWHRNTWU1TmNOblVWaEpPRTl2OUo4eG1zMnh2SFp4bU9xTmp2OU9SdXQyYWktM3ZFb0Q1X1JwUFJSMF8yVWwyYWI4aDBiS0Vn,GenZ India,"'You'll sail us to new heights': PM Modi appeals Gen Z, Gen Alpha to lead Viksit Bharat",2025-12-27 09:10:49,Business Today,
